Date,MSCUENR,MSCUMAT,MSCUIND,MSCUCDIS,MSCUCSTA,MSCUHC,MSCUFNCL,MSCUIT,MSCUTEL,MSCUUTI,MSFUCDIS,MSFUCSTA,MSFUENR,MSFUFNCL,MSFUHC,MSFUIND,MSFUIT,MSFUMAT,MSFUTEL,MSFUUTI
31/10/2013,278.675,253.81,189.807,180.983,197.181,167.321,106.928,120.947,80.848,117.446,693.901,529.893,656.523,348.974,726.711,202.128,301.084,426.414,238.221,276.444
30/09/2013,267.699,247.256,183.438,174.769,189.13,161.158,102.457,116.359,76.618,113.671,663.901,520.247,622.586,329.413,690.305,196.145,282.958,409.96,233.916,262.45
30/08/2013,259.893,234.433,171.32,163.797,182.994,155.619,97.069,111.563,72.536,108.832,622.011,486.068,583.042,306.929,652.805,182.621,271.036,388.5,224.648,248.716
31/07/2013,262.823,231.756,175.057,167.913,190.672,160.196,100.685,111.706,73.856,114.005,628.422,519.933,585.399,319.956,698.801,187.443,262.541,382.166,232.444,260.579
28/06/2013,250.015,222.763,166.011,159.11,184.376,151.772,95.799,107.6,71.848,110.116,611.567,524.101,566.6,320.677,677.076,184.184,263.104,378.352,230.33,260.653
31/05/2013,261.05,242.396,171.207,160.347,187.906,153.671,99.986,111.926,71.608,112.373,637.396,546.179,619.499,352.727,692.062,198.044,282.063,415.119,230.252,278.846
30/04/2013,261.938,245.859,168.45,156.895,194.836,154.254,101.398,109.07,75.646,120.374,634.067,565.395,649.774,365.277,708.723,199.525,278.547,446.123,239.298,300.383
29/03/2013,261.822,250.339,167.78,151.769,189.615,148.429,96.897,107.521,71.461,113.317,634.397,548.67,658.413,361.712,683.733,203.81,274.157,461.416,232.678,295.681
28/02/2013,260.52,259.53,166.089,147.78,183.053,141.167,96.489,105.823,69.382,109.671,649.377,546.884,668.57,366.851,669.117,209.783,279.443,486.582,237.547,296.004
31/01/2013,267.608,268.357,163.673,147.086,179.623,140.252,96.843,105.232,70.92,110.434,639.735,549.762,709.305,371.653,662.12,208.815,270.551,510.17,246.245,298.684
31/12/2012,253.874,264.12,156.637,140.148,171.053,131.162,91.492,103.394,68.801,107.958,651.247,540.121,700.361,356.334,667.374,206.808,271.853,513.83,246.26,290.928
30/11/2012,250.574,251.462,151.578,136.794,172.715,130.663,87.498,102.713,68.568,106.47,629.553,524.579,665.504,336.021,636.543,195.313,266.65,475.282,238.339,281.882
31/10/2012,255.4,251.302,148.599,132.195,168.699,129.895,86.398,100.398,68.861,109.776,620.544,512.773,680.899,328.428,652.157,195.297,250.967,480.074,240.581,287.051
28/09/2012,259.78,251.963,148.404,132.523,169.572,130.487,84.679,105.957,71.826,109.238,627.482,503.939,695.547,324.722,637.184,197.021,258.035,488.52,245.299,289.289
31/08/2012,253.114,236.874,145.243,129.796,167.466,125.916,81.33,103.691,70.245,107.382,597.834,482.417,652.899,308.811,608.312,186.87,237.451,447.402,238.624,288.425
31/07/2012,246.813,235.245,143.565,125.483,166.359,124.741,79.234,99.994,70.213,107.957,588.381,478.351,643.633,312.334,592.325,190.369,236.049,463.289,243.114,293.205
29/06/2012,239.363,236.621,142.466,125.231,161.802,122.127,78.382,99.6,68.083,109.558,570.927,472.815,630.436,304.204,575.265,189.091,236.291,468.895,231.185,292.655
31/05/2012,227.887,227.572,137.526,122.375,154.749,115.039,73.32,96.996,63.588,103.536,563.632,446.787,617.221,293.205,544.452,184.53,233.535,451.442,216.924,275.247
30/04/2012,262.394,261.81,151.005,134.234,163.028,121.606,83.091,106.557,67.809,110.32,648.309,495.28,744.282,326.857,577.39,204.787,259.45,514.022,245.559,309.674
30/03/2012,265.599,267.464,154.078,134.737,162.911,121.405,85.43,108.819,67.756,111.978,635.725,493.653,770.623,332.124,582.052,212.151,260.369,536.2,241.861,319.141
29/02/2012,279.4,280.08,154.643,131.337,158.801,118.25,84.762,104.552,67.815,112.036,644.68,482.733,833.349,350.452,580.376,220.444,257.942,578.54,241.848,329.191
31/01/2012,264.928,272.387,148.346,123.966,151.968,116.412,79.97,97.556,65.692,109.054,617.726,458.895,790.615,330.486,560.838,202.804,238.095,554.529,231.04,307.668
30/12/2011,254.092,243.516,137.86,115.319,152.8,113.746,73.162,90.773,66.536,109.492,568.241,439.247,683.36,292.05,507.295,180.056,215.214,482.277,224.686,284.214
30/11/2011,257.596,254.788,137.606,116.152,150.799,110.304,73.065,91.762,66.769,110.04,581.185,438.424,718.509,291.116,515.003,182.163,210.093,501.78,229.012,284.994
31/10/2011,259.869,267.004,141.259,120.59,150.631,111.266,79.163,94.519,68.496,111.982,627.948,445.247,748.27,322.859,552.65,202.476,224.487,551.371,232.909,296.697
30/09/2011,222.221,232.991,126.042,108.573,142.181,105.886,70.651,85.097,64.892,107.918,557.266,401.919,643.363,281.449,525.475,177.101,201.039,480.76,220.836,262.29
31/08/2011,255.952,285.059,142.222,118.971,150.586,111.628,80.674,89.038,69.104,112.276,644.45,455.532,773.888,338.714,583.719,214.087,213.48,602.823,246.396,305.807
29/07/2011,285.07,311.876,156.518,129.474,153.376,116.672,89.771,95.791,72.062,116.761,695.239,466.787,874.777,377.406,637.194,243.865,240.506,668.583,249.813,340.214
30/06/2011,284.488,316.343,163.599,131.196,153.866,118.652,93.001,95.567,73.016,120.286,693.073,463.538,873.064,382.383,640.408,251.633,244.74,670.042,248.137,348.923
31/05/2011,292.155,320.44,165.217,130.93,157.117,120.75,95.225,98.552,74.054,120.283,696.45,455.78,896.567,388.244,644.241,254.053,261.119,684.896,247.842,348.401
29/04/2011,308.031,335.886,171.309,132.239,155.006,118.297,99.182,100.639,75.534,124.675,696.569,462.201,945.409,400.554,642.173,264.467,264.554,719.263,253.192,353.621
31/03/2011,302.564,322.527,165.497,125.605,146.015,110.551,96.362,97.533,73.579,120.003,643.02,436.824,954.554,393.729,627.137,250.8,254.532,698.318,246.595,347.021
28/02/2011,298.115,319.476,163.252,127.737,144.788,110.023,98.268,100.112,71.795,123.476,592.789,412.387,896.519,367.543,589.566,235.258,250.881,666.025,236.642,323.772
31/01/2011,280.991,309.34,161.169,123.545,141.429,107.12,95.469,99.481,70.465,121.603,596.581,411.944,847.819,370.724,604.098,252.824,267.617,670.978,237.948,329.626
31/12/2010,267.576,316.403,156.672,123.63,145.195,106.678,93.234,96.057,70.021,119.042,633.953,445.686,854.996,392.4,660.54,259.43,259.621,681.204,244.098,340.101
30/11/2010,243.01,285.271,145.098,118.094,138.367,101.644,86.132,90.05,66.68,114.053,607.749,424.984,772.309,374.513,636.256,244.972,234.434,620.949,234.465,327.673
29/10/2010,242.263,287.005,146.084,117.377,142.444,105.458,90.983,90.982,70.61,121.71,626.335,437.304,795.663,393.26,650.061,251.391,230.211,631.947,242.99,341.304
30/09/2010,232.262,272.64,141.614,112.157,138.926,103.488,88.818,86.566,68.264,117.838,598.003,427.021,775.803,378.382,630.415,242.155,228.516,615.264,238.712,339.385
31/08/2010,211.142,245.218,126.666,99.94,129.666,95.63,82.27,77.568,63.856,114.125,517.067,384.626,708.857,342.101,553.805,213.315,205.346,549.593,222.502,319.609
30/07/2010,220.51,250.01,133.656,103.247,130.737,95.559,87.535,83.478,63.613,114.323,524.974,381.32,730.137,352.954,548.121,212.475,216.867,554.351,225.269,322.545
30/06/2010,202.768,228.664,122.557,95.461,123.519,94.796,78.711,78.171,58.194,106.624,479.432,356.146,690.512,318.665,536.321,193.796,204.467,508.74,213.243,310.897
31/05/2010,215.968,237.618,127.06,100.525,123.581,94.625,81.497,82.696,57.769,107.405,478.53,343.51,707.91,318.734,533.446,190.553,211.481,528.443,212.582,307.119
30/04/2010,246.021,267.304,141.48,109.697,132.308,102.94,92.061,91.478,62.552,117.462,516.443,362.999,789.407,349.364,559.097,214.513,237.82,595.25,225.642,333.696
31/03/2010,241.608,271.438,139.036,106.254,134.482,106.989,92.81,89.781,63.711,118.883,494.085,358.947,789.467,350.015,589.075,212.27,227.849,594.636,223.53,328.424
26/02/2010,230.958,248.711,128.817,98.466,129.904,104.861,86.072,83.515,61.366,115.754,456.518,341.678,739.739,318.756,544.735,198.609,208.461,542.206,215.771,311.822
29/01/2010,231.277,242.363,126.163,96.844,127.711,104.921,85.112,81.777,61.794,117.672,447.084,332.827,743.193,320.137,524.155,196.338,215.018,525.491,215.226,319.892
31/12/2009,245.149,264.299,128.66,100.158,130.141,105.749,89.528,87.184,65.634,123.406,489.396,349.262,795.686,342.825,525.685,204.156,227.989,564.691,220.027,324.312
30/11/2009,242.455,257.085,126.036,96.23,128.684,103.58,90.179,82.063,65.072,120.184,457.534,331.752,787.748,335.936,501.448,193.615,206.952,547.251,218.427,310.043
30/10/2009,236.772,234.295,120.407,93.132,124.596,97.175,88.566,79.153,62.66,115.538,439.838,313.494,757.701,325.896,465.408,191.273,198.739,506.286,212.308,299.411
30/09/2009,232.154,236.887,124.652,94.519,122.102,98.569,91.936,80.654,64.065,121.01,435.166,303.085,739.775,322.474,464.012,194.289,208.722,498.288,217.632,306.654
31/08/2009,218.715,223.266,118.519,90.793,117.556,96.478,88.266,76.894,61.732,117.884,401.854,279.23,668.976,290.809,461.589,184.967,188.09,449.532,212.518,290.92
31/07/2009,216.493,219.864,113.879,88.769,115.911,94.231,81.783,75.037,61.167,114.06,395.422,280.963,676.882,295.745,473.814,188.697,186.046,442.519,214.027,298.686
30/06/2009,207.255,196.077,104.517,80.187,107.914,88.243,73.394,68.51,57.208,109.683,341.023,253.407,639.648,265.132,435.947,169.749,158.91,395.304,199.71,276.072
29/05/2009,219.601,205.268,106.257,80.05,106.764,86.373,73.901,67.149,56.598,109.114,336.034,244.53,689.349,258.29,416.806,177.837,164.681,416.102,197.372,270.13
30/04/2009,190.347,176.503,98.685,77.846,98.522,80.484,64.714,64.274,53.542,102.044,290.257,221.559,551.261,217.829,387.038,153.689,149.44,342.161,180.597,237.922
31/03/2009,176.251,154.758,84.456,65.52,94.78,80.678,53.123,56.867,51.798,97.244,233.081,197.124,474.902,181.842,378.144,126.396,128.927,292.777,164.638,211.857
27/02/2009,166.347,137.47,78.185,60.183,92.124,76.6,46.636,50.804,49.945,97.289,196.765,182.585,414.72,155.64,377.132,107.786,107.097,255.924,151.982,196.548
30/01/2009,181.991,147.027,90.654,64.812,99.589,87.017,55.605,53.651,52.471,109.923,211.349,198.252,425.257,171.242,353.253,122.126,107.178,272.527,162.165,207.339
31/12/2008,188.767,158.461,101.944,70.867,107.418,90.39,67.171,55.737,58.878,117.017,229.797,209.559,437.014,194.074,375.23,130.598,111.377,277.572,180.722,214.535
28/11/2008,193.839,149.024,96.657,66.868,105.079,84.284,65.608,54.091,55.836,112.28,207.753,195.992,418.008,178.296,358.019,113.359,106.024,251.943,170.714,207.462
31/10/2008,199.796,160.632,101.605,75.603,108.19,90.531,74.614,60.501,54.354,112.705,245.577,198.15,469.154,185.043,358.056,123.968,128.218,276.62,175.476,205.227
30/09/2008,249.863,222.778,131.464,92.46,124.6,101.861,101.328,74.331,64.13,131.196,329.815,252.331,718.437,263.692,416.176,181.077,153.996,412.051,219.891,265.119
29/08/2008,297.993,295.015,156.187,104.347,130.214,109.971,112.223,87.302,72.953,149.932,393.195,293.325,894.711,316.707,455.012,215.793,184,549.998,252.223,319.902
31/07/2008,307.338,321.269,160.385,102.438,129.329,109.61,117.308,86.988,75.277,155.229,412.246,307.447,993.118,341.27,443.187,249.135,188.665,629.965,273.192,340.938
30/06/2008,355.709,354.897,162.585,103.524,128.636,105.181,114.27,88.894,77.739,161.038,403.527,307.267,1141.617,326.723,442.567,246.006,204.492,707.629,272.685,333.337
30/05/2008,358.347,368.653,182.559,116.923,139.812,108.386,133.773,98.435,85.476,167.335,468.032,333.259,1208.025,376.981,442.843,290.435,235.801,772.188,303.125,355.07
30/04/2008,339.133,351.143,178.845,116.376,139.103,106.847,140.554,94.181,84.67,162.873,473.388,328.643,1094.014,391.232,454.594,298.494,238.524,731.958,307.604,342.011
31/03/2008,302.715,327.133,174.35,113.574,138.8,106.008,131.35,87.866,81.299,157.884,439.393,313.264,985.072,350.981,437.028,290.923,220.819,680.385,295.597,330.163
29/02/2008,315.036,340.968,175.152,115.379,135.841,109.716,133.646,88.536,83.359,158.995,451.809,324.166,1065.828,379.648,459.453,317.034,220.101,718.213,303.479,353.906
31/01/2008,292.968,314.47,172.15,117.042,134.434,111.687,139.852,89.815,86.78,159.95,436.798,309.231,984.396,363.648,427.493,286.668,205.946,625.929,297.197,334.24
31/12/2007,333.669,337.082,189.108,125.359,144.254,117.113,150.833,101.807,94.774,173.059,490.932,330.202,1154.148,424,458.838,351.088,231.514,699.23,327.958,379.19
30/11/2007,316.416,339.101,192.452,129.539,145.431,121.085,157.112,101.605,94.663,173.436,487.975,321.936,1095.915,428.836,432.08,358.136,235.087,717.539,326.393,371.468
31/10/2007,332.019,357.659,203.079,137.999,143.588,119.121,169.463,109.418,98.176,171.543,527.393,341.301,1126.721,472.963,437.204,403.818,260.711,783.448,338.047,387.585
28/09/2007,313.398,343.219,196.864,134.202,138.902,118.629,164.373,104.03,92.307,161.816,498.099,317.547,958.662,419.682,435.307,352.977,248.641,722.872,299.854,363.428
31/08/2007,287.31,306.932,187.552,131.341,133.265,114.982,157.935,99.923,86.219,154.177,462.403,295.508,828.186,381.976,418.203,317.516,238.135,615.601,274.819,335.479
31/07/2007,292.809,312.394,190.734,133.584,130.418,113.591,160.881,98.229,84.117,151.059,488.943,301.182,855.779,399.27,426.629,322.016,250.005,616.502,263.88,345.265
29/06/2007,292.855,306.826,188.345,137.932,132.802,117.208,166.988,98.185,86.004,156.57,479.668,301.113,807.137,372.353,420.808,294.367,243.441,575.948,259.928,342.831
31/05/2007,280.92,298.169,186.945,139.274,134.678,120.701,171.999,96.298,86.475,161.477,470.943,304.034,740.064,358.121,411.771,285.656,228.325,559.864,250.073,326.032
30/04/2007,266.666,280.632,179.362,136.189,133.767,120.695,170.119,93.519,81.942,158.613,450.221,287.573,719.372,347.652,401.689,253.301,225.419,525.745,238.37,309.369
30/03/2007,255.156,271.808,169.953,132.854,128.777,114.453,163.066,89.323,79.296,152.738,441.209,269.313,723.429,330.592,382.219,229.057,220.017,496.657,226.563,287.978
28/02/2007,241.539,260.864,166.624,131.62,124.676,114.541,162.529,88.894,77.89,147.181,428.312,256.161,686.136,319.998,368.916,219.988,223.564,467.692,215.597,276.609
31/01/2007,246.533,253.425,165.668,132.363,125.031,115.958,164.795,90.772,78.272,144.649,428.428,265.745,710.901,322.869,372.955,212.129,224.455,454.659,219.616,284.341
29/12/2006,254.395,248.347,161.822,129.95,123.564,113.773,163.383,90.299,76.594,144.708,422.595,266.177,760.04,328.815,356.304,210.724,231.814,441.499,218.011,282.13
30/11/2006,257.306,241.186,157.793,126.089,120.349,113.041,157.848,90.418,73.558,140.653,405.743,250.593,736.556,302.891,354.51,202.795,232.654,426.091,207.012,262.796
31/10/2006,242.798,231.597,152.984,123.521,118.613,113.112,155.342,87.206,71.784,134.137,389.573,236.327,677.615,282.068,349.402,192.245,214.918,391.222,194.552,241.763
29/09/2006,232.224,216.728,147.632,117.204,116.398,112.209,150.513,84.628,67.414,129.009,370.251,226.05,654.517,265.96,350.531,181.526,216.388,362.192,180.656,232.192
31/08/2006,243.313,220.853,144.649,113.538,116.746,112.177,147.497,82,64.698,128.099,360.612,222.956,698.128,258.758,356.488,176.327,210.357,364.358,172.743,228.652
31/07/2006,250.609,217.039,141.895,110.309,112.831,109.675,143.975,76.681,63.48,123.913,346.185,216.435,695.338,257.482,337.875,169.318,197.132,368.955,167.141,222.749
30/06/2006,242.692,218.435,146.685,112.383,109.618,105.711,141.758,79.402,62.009,119.831,352.521,211.384,680.588,250.335,328.011,166.819,202.579,374.744,158.414,217.818
31/05/2006,240.181,219.731,147.669,113.612,108.176,105.273,142.118,80.717,62.027,118.871,361.447,210.869,666.705,254.49,360.546,167.92,208.826,364.582,158.856,213.64
28/04/2006,251.721,230.292,154.627,118.856,109.691,107.316,149.53,86.946,64.235,119.683,415.19,234.822,757.492,286.386,411.238,189.475,226.977,404.635,178.76,243.214
31/03/2006,235.676,217.198,149.513,115.436,107.163,107.506,144.113,86.592,62.402,115.732,398.434,225.071,680.564,269.085,405.537,174.986,212.891,378.012,169.649,229.584
28/02/2006,226.734,208.211,144.11,113.284,106.888,106.697,142.879,84.61,60.453,118.649,395.58,222.881,665.555,271.178,405.251,171.292,215.223,361.854,170.654,231.978
31/01/2006,245.681,212.865,142.443,113.08,105.395,106.938,139.758,86.399,60.21,115.738,400.899,216.023,669.17,266.504,405.384,166.398,224.805,370.066,169.716,220.412
30/12/2005,215.264,194.146,137.49,109.249,103.988,104.716,134.053,82.941,59.222,109.413,381.101,197.001,548.633,240.595,393.283,156.119,209.087,319.742,158.922,197.018
